sentence,label
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral
"The international electronic industry company Elcoteq has laid off tens of thousands of employees in its Tallinn facility ; it comes as a blow for the 3,000 employees still employed there .",negative
"With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .",positive
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive
"FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy and our target is to double our net sales within the next five years .",positive
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive
"Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger operating expenditures and lower sales of biotechnology medicines .",negative
"The result for the year ended 31 December 2009 shows a net loss of EUR 4.4 mn .",negative
"Kauppalehti had previously reported that Solvay 's acquisition plans were under consideration .",neutral
"In 2008 , the company generated sales of EUR 15.5 billion .",neutral
"Operating profit fell to EUR 8.9 mn from EUR 11.8 mn in the same period in 2009 , representing a 24.6 % decrease .",negative
"Strong growth was also seen in recycling volumes and input prices were much lower during the fourth quarter of 2010 .",positive
"The deal valued Orion at EUR3.6 billion .",neutral
